input_voltage_setpoint,VCC,PG,v_input_shunt,v_output_shunt,v_input_voltage,v_output_voltage,i_input_current,i_output_current,p_input_power,p_output_power,p_power_loss,efficiency,electronic_load_setpoint,electronic_load_current,electronic_load_voltage,switching_frequency,
12,0.000130997,5.63249E-05,0.008119898,0.019967971,11.9884695,0.999932138,0.405994897,4.013113906,4.86725744,4.012841568,0.854415872,82.44564044,4,4.004,0.922788,994246.8183, 
12,0.000201566,3.82091E-05,0.009930462,0.024953532,11.9858097,0.999827778,0.496523105,5.015099805,5.951231448,5.014236095,0.936995353,84.25543753,5,5.004,0.9032679,994111.0437, 
12,9.90708E-05,9.02126E-06,0.0117619,0.029939276,11.9830357,0.999652523,0.58809499,6.017122444,7.04716326,6.015031632,1.032131628,85.35394186,6,6.0042,0.8837827,993761.1761, 
12,0.000134732,1.58023E-05,0.013617044,0.034927091,11.9803452,0.999557078,0.68085222,7.019561286,8.156844626,7.016452168,1.140392458,86.01919602,7,7.0043,0.864216,993825.8282, 
12,0.000102937,5.70363E-05,0.015494187,0.039913277,11.9776083,0.999401107,0.77470936,8.021672796,9.27916526,8.016868673,1.262296588,86.39644244,8,8.0039,0.8445984,993547.4581, 
12,0.000103815,-1.11754E-05,0.017394254,0.044899598,11.9748439,0.99929238,0.869712715,9.023811379,10.414674,9.017425949,1.397248051,86.58385226,9,9.0039,0.825199,993382.5929, 
12,0.000106157,-1.48041E-06,0.019319004,0.049889703,11.9719808,0.999155347,0.965950185,10.02671044,11.56433707,10.01824135,1.54609572,86.63048551,10,10.004,0.8057829,993560.9607, 
12,0.000133457,1.69604E-05,0.021265365,0.054875895,11.969112,0.999022982,1.06326826,11.02882326,12.72637689,11.0180479,1.708328993,86.57647021,11,11.004,0.7863185,993081.0535, 
12,0.000112302,3.77517E-05,0.023237346,0.059865125,11.9662297,0.998914875,1.16186728,12.03154642,13.90317075,12.01849069,1.884680063,86.44424285,12,12.003,0.76696,992943.9203, 
12,0.000120057,5.80453E-05,0.02523613,0.064855319,11.9633999,0.99877018,1.26180652,13.03446349,15.095496,13.01843345,2.077062549,86.24051472,13,13.004,0.7474807,992858.8106, 
12,0.000143812,4.60702E-05,0.027263285,0.069843726,11.9603817,0.998686835,1.36316423,14.03702129,16.30396451,14.01858837,2.285376144,85.98269677,14,14.003,0.7280715,992528.2701, 
12,0.000112738,2.21191E-05,0.029324934,0.074832465,11.9572843,0.998558837,1.46624669,15.03964584,17.53232853,15.01797126,2.51435727,85.65873742,15,15.003,0.7085081,992567.4504, 
12,0.000151651,2.56701E-05,0.031413606,0.079824265,11.9542051,0.998416587,1.57068028,16.04288558,18.77623421,16.01748306,2.758751152,85.30721805,16,16.004,0.6892385,992221.1246, 
12,9.09067E-05,-3.38618E-06,0.033531094,0.084812928,11.9510602,0.998256578,1.6765547,17.04549485,20.03660615,17.01577736,3.020828792,84.92345076,17,17.003,0.6701209,992006.8843, 
12,0.000154643,4.12861E-05,0.035690911,0.08980341,11.9479536,0.998130514,1.784545545,18.04846968,21.32166737,18.01472832,3.306939054,84.4902418,18,18.003,0.650378,991946.9675, 
12,0.000124676,1.62934E-05,0.037885923,0.094793715,11.9448127,0.997990704,1.89429613,19.05140903,22.62701247,19.01312911,3.613883358,84.02845554,19,19.004,0.6306412,991679.3375, 
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
16,0.000214069,4.89926E-05,0.001181735,9.51631E-07,15.9988842,1.00070396,0.059086726,0.000191256,0.945321687,0.000191391,0.945130296,0.020246136,0,0.0001877,1.0009,994475.2124, 
16,0.000316299,0.000127754,0.001420028,0.000997186,15.9985228,1.0006353,0.071001404,0.200411971,1.135917573,0.200539293,0.93537828,17.65438778,0.2,0.2001764,0.9970065,994614.2252, 
16,0.000255346,5.9633E-05,0.001657562,0.001993479,15.9982455,1.00059663,0.082878088,0.400644511,1.325903998,0.400883547,0.925020451,30.23473403,0.4,0.4001555,0.9931182,994622.2958, 
16,0.000306452,0.000118391,0.001891735,0.002990464,15.9979865,1.00055464,0.094586774,0.601016209,1.513197926,0.601349556,0.911848369,39.74031066,0.6,0.6001602,0.9892763,994597.5689, 
16,0.000363713,0.00012415,0.002145756,0.003987736,15.9974544,1.00052059,0.107287801,0.801445447,1.716331696,0.801862671,0.914469025,46.71956318,0.8,0.8001597,0.9854441,994631.183, 
16,0.000355346,0.000123212,0.002416744,0.005012552,15.9971051,1.00048964,0.120837185,1.007410537,1.93304514,1.007903805,0.925141335,52.14072782,1,1.0043,0.9813188,994538.9758, 
16,0.000216169,0.000106903,0.003743075,0.009998044,15.9951267,1.00034826,0.187153745,2.009382342,2.993547864,2.010082129,0.983465734,67.14715183,2,2.0044,0.9618813,994539.5168, 
16,0.000285935,0.000103302,0.005085533,0.01498254,15.9931495,1.00020613,0.25427663,3.011154234,4.06668415,3.011774923,1.054909227,74.05972071,3,3.0044,0.9427299,994398.3001, 
16,0.000241985,6.92427E-05,0.006443435,0.019968781,15.9913078,1.00006774,0.322171761,4.013276698,5.151947787,4.013548557,1.138399229,77.90351773,4,4.0041,0.9234576,994464.5928, 
